NOM PDV,ADRESSE PDV,LOCALISATION
Alimentation Chez Maman Florence,scat urbam,"17°27'29.78""W  14°44'29.68""N"
Marie Preira,près de la mosquée,"17°26'46.07""W  14°44'21.37""N"
Jannot Mendy,près de l'église Saint Paul,"17°26'48.77""W  14°44'20.33""N"
karlyto,près alimentation Jannot,"17°26'47.04""W  14°44'19.19""N"
Bar Kabouyana,Ruelle en face Outécor,"17°26'50.28""W  14°44'13.46""N"
Bar mame Paul,dernière Ndoye,"17°26'45.91""W  14°44'13.22""N"
Bar 225,Prêt du canal,"17°26'45.71""W  14°44'16.43""N"
Bar chez Pa Dion,2ie ruelle à gauche de Ndoye,"17°26'48.08""W  14°44'15.19""N"
Bar Outhiécor,prêt de Ndoye,"17°26'48.83""W  14°44'12.37""N"
Ndoye,côté canal grand yoff,"17°26'47.93""W  14°44'13.73""N"
BAR CHEZ LÉLA,Sous le pond allant vers mbèd fass,"17°20'43.39""W  14°45'55.81""N"
Bar Chez Victor,Prèt de la case des tout petit,"17°21'19.31""W  14°45'17.41""N"
CHEZ ARMAND,prèt des clando,"17°21'39.68""W  14°44'55.13""N"
Chez Mado,prèt des clando,"17°21'41.58""W  14°44'53.52""N"
Alimentation chez Marie,Marché diamagueune,"17°21'47.49""W  14°44'58.37""N"
BARASSA LA FRANCE,Chez Lys Ndiago,"17°21'57.45""W  14°45'4.78""N"
Bar Chez Jean Pierre,Diamagueune prèt du marché,"17°21'14.18""W  14°45'21.38""N"
Chez ERIC,prèt de ndiago bar,"17°21'44.16""W  14°45'3.89""N"
NDIAGO BAR,Qrt Samba Dramé,"17°21'43.17""W  14°45'6.39""N"
Chez Paul,Darou,"16°24'9.90""W  14°20'30.59""N"
Bar Chez Augustine,Darou salam prèt du marché,"17°21'37.31""W  14°45'6.58""N"
BERTIN MANGA,face au terrain,"17°21'7.41""W  14°45'7.17""N"
BAR POPONGUINE MR GOMIS GUÉDIAWAYE,Après SDE avant marché,"17°22'23.85""W  14°46'42.75""N"
BAR SOMBRA BAZIL MENDY,Angle mousse,"17°22'20.80""W  14°46'45.75""N"
BAR CHEZ GASTON ÉLIMANE,stade ndiatème,"17°22'34.36""W  14°46'53.19""N"
Mme Dioh Chez Nanou,pret de la pharmacie,"17°22'38.22""W  14°47'1.07""N"
PAULIN MENDY KAMPYL’S SHOP,prèt du dépot gaz,"17°22'32.09""W  14°46'52.02""N"
KARIM BOUBA,prèt marché ndiarème,"17°22'53.93""W  14°46'54.82""N"
CLAUDE PREIRA,Aprés André Mendy,"17°22'37.44""W  14°46'36.33""N"
Dépot ANDRÉ MENDY,Prèt du lycée limamoulaye,"17°22'41.21""W  14°46'35.64""N"
Chez Bathily,Ouakam batrain,"17°28'41.61""W  14°43'9.54""N"
Chez  Mendy Jérôme,Ouakam côté marché,"17°29'15.00""W  14°43'15.18""N"
Coin Cosy Bar Moise,Ouakam face Station Totale,"17°29'15.70""W  14°43'4.19""N"
Bar Chez Dioh Moise Boukary,Ouakam,"17°29'26.05""W  14°43'50.98""N"
Complexe Aïman,Ouakam coté Brioche doré,"17°29'28.02""W  14°43'47.95""N"
Bar Awalé Gerard,Ouakam coté Stade,"17°29'27.19""W  14°43'45.41""N"
Chez Casien,Ouakam Comico,"17°28'58.28""W  14°43'47.03""N"
Balampé Bar  Chez lopy,Ouakam Comico,"17°29'2.54""W  14°43'41.43""N"
Le Bougeois  Michelle et Maruis,Ouakam,"17°29'1.96""W  14°43'38.75""N"
Chez Jerome Yandé,Ouakam tournois,"17°28'57.83""W  14°43'36.99""N"
Bar  Joyce  Natacha,Ouakam,"17°28'41.97""W  14°43'22.91""N"
Alimentation Royau Boisson  Kevine,Ouakam Cité Avion,"17°29'1.46""W  14°43'24.60""N"
Cadjiafoul Bar Faro Alioune Soumbédioune,Soumbédioune,"17°27'29.62""W  14°40'36.08""N"
Baba Diop Corniche Soumbédioune,Corniche Soumbédioune,"17°27'27.93""W  14°40'39.59""N"
Bistro de Paris Remy Ndecki,Medina 15×6,"17°27'9.61""W  14°40'37.20""N"
Chez Barros Alex 6×7,Medina 6×7,"17°27'2.04""W  14°40'32.68""N"
Alimentation Barros  Bruno Mendy,Medina 6×7,"17°27'2.13""W  14°40'32.83""N"
Barros 5×16,Medina 5×16,"17°26'53.36""W  14°40'40.82""N"
Alimétation chez Daniel,Medina 5×16,"17°26'52.96""W  14°40'40.54""N"
Mini Prix,Avenue Malick Sy Medina,"17°26'48.11""W  14°40'34.61""N"
